"Model","Accuracy","Sensitivity","Specificity","PPV","NPV","Gmean","F1","MCC"
"NN_size_3",0.788888888888889,0.666666666666667,0.895833333333333,0.848484848484849,0.754385964912281,0.772801541291309,0.746666666666667,0.582335669984147
"NN_size_5",0.744444444444444,0.642857142857143,0.833333333333333,0.771428571428571,0.727272727272727,0.7319250547114,0.701298701298701,0.487315923098538
"NN_size_10",0.788888888888889,0.642857142857143,0.916666666666667,0.870967741935484,0.745762711864407,0.767649473578738,0.73972602739726,0.587431164443514
