"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 0",1,1,1,1,1,1,1,0.533333333333333,0.533333333333333,0.533333333333333,1
"Class: 1",1,1,1,1,1,1,1,0.233333333333333,0.233333333333333,0.233333333333333,1
"Class: 2",0.923076923076923,1,1,0.987179487179487,1,0.923076923076923,0.96,0.144444444444444,0.133333333333333,0.133333333333333,0.961538461538462
"Class: 3",1,0.988095238095238,0.857142857142858,1,0.857142857142857,1,0.923076923076923,0.0666666666666667,0.0666666666666667,0.0777777777777778,0.994047619047619
"Class: 4",1,1,1,1,1,1,1,0.0222222222222222,0.0222222222222222,0.0222222222222222,1
